--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.001  000.001: --- NVIM STARTING ---
000.187  000.187: event init
000.308  000.120: early init
000.387  000.079: locale set
000.449  000.062: init first window
001.173  000.724: inits 1
001.193  000.020: window checked
001.199  000.006: parsing arguments
002.856  000.884  000.884: require('vim.shared')
004.327  000.384  000.384: require('vim.inspect')
004.956  000.609  000.609: require('vim._options')
004.961  002.097  001.105: require('vim._editor')
004.964  003.192  000.210: require('vim._init_packages')
004.967  000.577: init lua interpreter
005.032  000.065: expanding arguments
005.058  000.026: inits 2
005.494  000.436: init highlight
005.509  000.015: clear screen
006.557  000.074  000.074: require('vim.keymap')
007.833  000.234  000.234: sourcing nvim_exec2()
008.053  002.539  002.231: require('vim._defaults')
008.057  000.009: init default mappings & autocommands
008.689  000.071  000.071: sourcing /usr/share/nvim/runtime/ftplugin.vim
008.778  000.044  000.044: sourcing /usr/share/nvim/runtime/indent.vim
009.266  000.329  000.329: require('config.options')
010.223  000.674  000.674: require('lazy')
010.283  000.039  000.039: require('ffi')
011.352  000.584  000.584: require('vim.fs')
011.571  000.212  000.212: require('vim.uri')
011.631  001.341  000.545: require('vim.loader')
011.891  000.173  000.173: require('lazy.stats')
012.077  000.138  000.138: require('lazy.core.util')
012.237  000.156  000.156: require('lazy.core.config')
012.480  000.095  000.095: require('lazy.core.handler')
012.908  000.153  000.153: require('lazy.pkg')
012.915  000.303  000.149: require('lazy.core.meta')
012.934  000.448  000.146: require('lazy.core.plugin')
012.943  000.702  000.158: require('lazy.core.loader')
013.691  000.137  000.137: require('lazy.async')
014.144  000.272  000.272: require('lazy.manage.process')
014.377  000.228  000.228: require('lazy.terminal')
014.388  000.692  000.191: require('lazy.manage.task')
014.394  000.940  000.111: require('lazy.manage.runner')
014.411  001.091  000.151: require('lazy.manage')
014.417  001.192  000.102: require('lazy.view.commands')
014.653  000.199  000.199: require('lazy.core.fragments')
017.981  000.083  000.083: require('lazy.core.handler.cmd')
018.151  000.106  000.106: require('lazy.core.handler.event')
018.157  000.166  000.061: require('lazy.core.handler.ft')
018.248  000.087  000.087: require('lazy.core.handler.keys')
019.012  000.190  000.190: sourcing nvim_exec2() called at /usr/share/nvim/runtime/filetype.lua:0
019.020  000.292  000.101: sourcing /usr/share/nvim/runtime/filetype.lua
019.026  000.344  000.052: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
019.301  000.006  000.006: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
019.323  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
019.954  000.620  000.620: require('catppuccin')
020.351  000.125  000.125: require('catppuccin.lib.hashing')
024.114  002.949  002.949: sourcing /home/ronin/.local/share/nvim/lazy/catppuccin/colors/catppuccin.vim
024.694  000.011  000.011: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
024.713  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
025.172  000.100  000.100: require('vim.lsp.log')
025.683  000.505  000.505: require('vim.lsp.protocol')
025.916  000.226  000.226: require('vim.lsp.util')
026.060  000.054  000.054: require('vim.lsp.sync')
026.067  000.132  000.078: require('vim.lsp._changetracking')
026.208  000.064  000.064: require('vim.lsp._transport')
026.228  000.157  000.093: require('vim.lsp.rpc')
026.301  001.407  000.287: require('vim.lsp')
027.051  000.745  000.745: require('blink.cmp')
027.334  000.115  000.115: require('blink.cmp.lib.async')
027.488  000.071  000.071: require('blink.cmp.config.utils')
027.557  000.064  000.064: require('blink.cmp.config.keymap')
027.733  000.058  000.058: require('blink.cmp.config.completion.keyword')
027.800  000.063  000.063: require('blink.cmp.config.completion.trigger')
027.862  000.059  000.059: require('blink.cmp.config.completion.list')
027.943  000.077  000.077: require('blink.cmp.config.completion.accept')
028.054  000.107  000.107: require('blink.cmp.config.completion.menu')
028.131  000.074  000.074: require('blink.cmp.config.completion.documentation')
028.193  000.058  000.058: require('blink.cmp.config.completion.ghost_text')
028.198  000.637  000.141: require('blink.cmp.config.completion')
028.271  000.071  000.071: require('blink.cmp.config.fuzzy')
028.354  000.080  000.080: require('blink.cmp.config.sources')
028.472  000.115  000.115: require('blink.cmp.config.signature')
028.615  000.139  000.139: require('blink.cmp.config.snippets')
028.733  000.114  000.114: require('blink.cmp.config.appearance')
028.834  000.097  000.097: require('blink.cmp.config.modes.cmdline')
028.971  000.133  000.133: require('blink.cmp.config.modes.term')
028.977  001.638  000.118: require('blink.cmp.config')
029.055  000.074  000.074: require('blink.cmp.lib.event_emitter')
029.071  002.014  000.188: require('blink.cmp.sources.lib')
029.096  004.281  000.114: sourcing /home/ronin/.local/share/nvim/lazy/blink.cmp/plugin/blink-cmp.lua
029.112  004.335  000.053: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
029.145  000.014  000.014: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
029.166  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
029.269  000.071  000.071: require('blink-cmp')
030.806  000.129  000.129: require('blink.cmp.config.modes.types')
031.843  000.159  000.159: require('blink.cmp.lib.utils')
031.974  000.126  000.126: require('blink.cmp.fuzzy.download.system')
032.013  000.490  000.206: require('blink.cmp.fuzzy.download.files')
032.018  000.627  000.137: require('blink.cmp.fuzzy.download.git')
032.023  000.768  000.140: require('blink.cmp.fuzzy.download')
032.351  000.203  000.203: require('vim._system')
038.139  000.032  000.032: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
038.171  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
039.912  000.630  000.630: require('lazydev')
040.280  000.340  000.340: require('lazydev.config')
040.628  000.233  000.233: require('lazydev.util')
040.880  000.013  000.013: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
040.918  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
041.645  000.089  000.089: require('mason-core.path')
041.834  000.043  000.043: require('mason-core.functional.data')
041.906  000.067  000.067: require('mason-core.functional.function')
042.004  000.089  000.089: require('mason-core.functional.list')
042.067  000.051  000.051: require('mason-core.functional.relation')
042.137  000.065  000.065: require('mason-core.functional.logic')
042.195  000.054  000.054: require('mason-core.functional.number')
042.329  000.061  000.061: require('mason-core.functional.string')
042.387  000.050  000.050: require('mason-core.functional.table')
